Name,Version,Notes,Type,InstallBoth,ZipContentToRun,UrlFor32Bit,UrlFor64Bit,IndirectUrlFor32Bit,IndirectUrlFor64Bit,HashFor32Bit,HashFor64Bit,ValidExitCodes,PreInstallMessage,PostInstallMessage,InstallerArguments,HeadersToAdd,AppPage
python27,2.7.14.0,,msi,,,https://www.python.org/ftp/python/2.7.14/python-2.7.14.msi,https://www.python.org/ftp/python/2.7.14/python-2.7.14.amd64.msi,,,fff688dc4968ec80bbb0eedf45de82db,370014d73c3059f610c27365def62058,,,,"/passive ALLUSERS=1 TARGETDIR=C:\tools\python27 ADDLOCAL=DefaultFeature,Tools,TclTk,Documentation,pip_feature,Testsuite REMOVE=Extensions,PrependPath",,https://www.python.org/downloads/
python34,3.4.3.0,,msi,,,https://www.python.org/ftp/python/3.4.3/python-3.4.3.msi,https://www.python.org/ftp/python/3.4.3/python-3.4.3.amd64.msi,,,cb450d1cc616bfc8f7a2d6bd88780bf6,f6ade29acaf8fcdc0463e69a6e7ccf87,,,,"/passive ALLUSERS=1 TARGETDIR=C:\tools\python34 ADDLOCAL=DefaultFeature,Tools,Extensions,TclTk,Documentation,pip_feature,Testsuite REMOVE=PrependPath",,https://www.python.org/downloads/
python35,3.5.4.0,,exe,,,https://www.python.org/ftp/python/3.5.4/python-3.5.4.exe,https://www.python.org/ftp/python/3.5.4/python-3.5.4-amd64.exe,,,9693575358f41f452d03fd33714f223f,4276742a4a75a8d07260f13fe956eec4,,,,/passive InstallAllUsers=1 TargetDir=C:\tools\python35 PrependPath=0 CompileAll=1,,https://www.python.org/downloads/
python36,3.6.4.0,,exe,,,https://www.python.org/ftp/python/3.6.4/python-3.6.4.exe,https://www.python.org/ftp/python/3.6.4/python-3.6.4-amd64.exe,,,67e1a9bb336a5eca0efcd481c9f262a4,bee5746dc6ece6ab49573a9f54b5d0a1,,,,/passive InstallAllUsers=1 TargetDir=C:\tools\python36 PrependPath=0 CompileAll=1,,https://www.python.org/downloads/
QTTabBar,0.1038.0,,zip,,QTTabBar.exe,http://qttabbar.wdfiles.com/local--files/qttabbar/QTTabBar_1038.zip,,,,,,,installing QTTabBar: should kill explorer.exe to help the install,done installing QTTabBar: you can restart explorer.exe now,,,http://qttabbar.wikidot.com/
Resharper,2017.3.2.0,,exe,,,https://download.jetbrains.com/resharper/JetBrains.ReSharperUltimate.2017.3.2.exe,,,,fc515477f90ec6c159ace465134dacead4b40bead82d49a53c1956aa25c00063,,,,,/VsVersion=11.0;12.0;14.0;15.0 /SpecificProductNames=dotCover;dotMemory;dotPeek;dotTrace;ReSharperCpp;ReSharper /Silent=True,,https://www.jetbrains.com/resharper/download/index.html
ruby2,2.5.0.2,https://github.com/oneclick/rubyinstaller2/releases,exe,,,https://github.com/oneclick/rubyinstaller2/releases/download/rubyinstaller-2.5.0-2/rubyinstaller-2.5.0-2-x86.exe,https://github.com/oneclick/rubyinstaller2/releases/download/rubyinstaller-2.5.0-2/rubyinstaller-2.5.0-2-x64.exe,,,8d74b5fef620c2e593225687beee28a9e1b94b0d68607649e5bb61d10df3352e,8de6d2223505f5291387331a8e968bc2380be4c2295303fef19b7c34872f57e4,,,,"/dir=""C:\tools\ruby2"" /tasks=""assocfiles""",,https://rubyinstaller.org/downloads/
Sigil,0.9.9.0,,exe,,,https://github.com/Sigil-Ebook/Sigil/releases/download/0.9.9/Sigil-0.9.9-Windows-Setup.exe,https://github.com/Sigil-Ebook/Sigil/releases/download/0.9.9/Sigil-0.9.9-Windows-x64-Setup.exe,,,243534bd589b4c601c95214dc31905e3a4cac6d856d50e4340cf783657715473,4b585d2670d67623beab9ec7aced0021811d1630ad134193d07d1dee03987f23,,,,,,https://github.com/Sigil-Ebook/Sigil/releases
SilverLight,5.1.50428.0,,exe,,,http://go.microsoft.com/fwlink/?LinkID=229320,http://go.microsoft.com/fwlink/?LinkID=229321,,,,,,,,,,
SilverLightDev,5.1.50428.0,,exe,,,http://go.microsoft.com/fwlink/?LinkId=229323,http://go.microsoft.com/fwlink/?LinkId=229324,,,,,,,,,,
SourceTree,2.4.8.0,https://www.sourcetreeapp.com/update/windowsupdates.txt,exe,,,https://downloads.atlassian.com/software/sourcetree/windows/ga/SourceTreeSetup-2.4.8.0.exe,,,,,,,,,,,https://www.sourcetreeapp.com/
SqlServer2014Express,12.0.4100.1,with SP1,exe,,,http://download.microsoft.com/download/1/5/6/156992E6-F7C7-4E55-833D-249BD2348138/ENU/x86/SQLEXPR_x86_ENU.exe,http://download.microsoft.com/download/1/5/6/156992E6-F7C7-4E55-833D-249BD2348138/ENU/x64/SQLEXPR_x64_ENU.exe,,,,,,,,,,http://go.microsoft.com/fwlink/?LinkID=524502
SqlServer2014LocalDb,12.0.4100.1,with SP1,msi,,,http://download.microsoft.com/download/1/5/6/156992E6-F7C7-4E55-833D-249BD2348138/ENU/x86/SqlLocalDB.msi,http://download.microsoft.com/download/1/5/6/156992E6-F7C7-4E55-833D-249BD2348138/ENU/x64/SqlLocalDB.msi,,,,,,,,,,http://go.microsoft.com/fwlink/?LinkID=524502
SqlServerMngmtStudio,14.0.17224.0,release 17.5,exe,,,https://go.microsoft.com/fwlink/?linkid=867670,,,,,,,,,,,https://docs.microsoft.com/en-us/sql/ssms/download-sql-server-management-studio-ssms
stellarium,0.17.0.0,http://stellarium.org/,exe,,,https://github.com/Stellarium/stellarium/releases/download/v0.17.0/stellarium-0.17.0-win32.exe,https://github.com/Stellarium/stellarium/releases/download/v0.17.0/stellarium-0.17.0-win64.exe,,,23c7e6e396f4e42dd459cb1f12513265c1300f5e,b663246d658728f1589324c4fd810c2b64e9e9ba,,,,,,https://github.com/Stellarium/stellarium/releases
SumatraPDF,3.1.2.0,,exe,,,https://kjkpub.s3.amazonaws.com/sumatrapdf/rel/SumatraPDF-3.1.2-install.exe,https://kjkpub.s3.amazonaws.com/sumatrapdf/rel/SumatraPDF-3.1.2-64-install.exe,,,,,,,,,,http://www.sumatrapdfreader.org/download-free-pdf-viewer.html
SyncBackSE,8.5.26.0,,exe,,,https://www.2brightsparks.com/assets/software/SyncBackSE_Setup.exe,https://www.2brightsparks.com/assets/software/SyncBackSE64_Setup.exe,,,8456d26f35da93468ca3bd0f4559c2fdcc8e9554,170669d9d9392e7c24b08a835a005cbc05b1832b,,,,/Silent /SP- /Counter=1 /UpdCheckDays=0,,https://www.2brightsparks.com/download-syncbackse.html
TeamViewer,13.0.6447.0,,exe,,,http://download.teamviewer.com/download/TeamViewer_Setup_en.exe,,,,,,,,,,,https://www.teamviewer.com/en/download/windows/
UltraCompare,17.0.0.18,,exe,,,https://downloads.ultraedit.com/main/uc/win/uc_english.exe,https://downloads.ultraedit.com/main/uc/win/uc_english_64.exe,,,,,,,,,,https://www.ultraedit.com/downloads/ultracompare-download/
UltraEdit,24.20.0.27,,exe,,,https://downloads.ultraedit.com/main/ue/win/ue_english.exe,https://downloads.ultraedit.com/main/ue/win/ue_english_64.exe,,,,,"0,5",,,,,https://www.ultraedit.com/downloads/ultraedit-download
URLRewrite2,2.1.1980.0,,msi,,,http://download.microsoft.com/download/6/8/F/68F82751-0644-49CD-934C-B52DF91765D1/rewrite_x86_en-US.msi,http://download.microsoft.com/download/D/D/E/DDE57C26-C62C-4C59-A1BB-31D58B36ADA2/rewrite_amd64_en-US.msi,,,,,,,,,,https://www.iis.net/downloads/microsoft/url-rewrite
VCRedist2005,8.0.50727.763,,exe,TRUE,,http://download.microsoft.com/download/8/B/4/8B42259F-5D70-43F4-AC2E-4B208FD8D66A/vcredist_x86.EXE,http://download.microsoft.com/download/8/B/4/8B42259F-5D70-43F4-AC2E-4B208FD8D66A/vcredist_x64.EXE,,,,,,,,/Q,,
VCRedist2008,9.0.30729.1,,exe,TRUE,,http://download.microsoft.com/download/d/d/9/dd9a82d0-52ef-40db-8dab-795376989c03/vcredist_x86.exe,http://download.microsoft.com/download/2/d/6/2d61c766-107b-409d-8fba-c39e61ca08e8/vcredist_x64.exe,,,,,,,,/Q,,
VCRedist2010,10.0.40219.1,,exe,TRUE,,http://download.microsoft.com/download/C/6/D/C6D0FD4E-9E53-4897-9B91-836EBA2AACD3/vcredist_x86.exe,http://download.microsoft.com/download/A/8/0/A80747C3-41BD-45DF-B505-E9710D2744E0/vcredist_x64.exe,,,,,,,,/q /norestart,,
VCRedist2012,11.0.61030.0,,exe,TRUE,,http://download.microsoft.com/download/1/6/B/16B06F60-3B20-4FF2-B699-5E9B7962F9AE/VSU_4/vcredist_x86.exe,http://download.microsoft.com/download/1/6/B/16B06F60-3B20-4FF2-B699-5E9B7962F9AE/VSU_4/vcredist_x64.exe,,,,,"0,3010",,,/quiet /norestart,,
VCRedist2013,12.0.30501.0,,exe,TRUE,,http://download.microsoft.com/download/2/E/6/2E61CFA4-993B-4DD4-91DA-3737CD5CD6E3/vcredist_x86.exe,http://download.microsoft.com/download/2/E/6/2E61CFA4-993B-4DD4-91DA-3737CD5CD6E3/vcredist_x64.exe,,,,,"0,3010",,,/quiet /norestart,,
VCRedist2015,14.0.24215.1,,exe,TRUE,,https://go.microsoft.com/fwlink/?LinkId=615459,https://go.microsoft.com/fwlink/?LinkId=615460,,,72211bd2e7dfc91ea7c8fac549c49c0543ba791b,10b1683ea3ff5f36f225769244bf7e7813d54ad0,"0,3010",,,/q /norestart,,https://www.visualstudio.com/downloads/#microsoft-visual-c-2015-redistributable-update-3
VCRedist2017,14.10.25008.0,,exe,TRUE,,https://go.microsoft.com/fwlink/?LinkId=746571,https://go.microsoft.com/fwlink/?LinkId=746572,,,20F456AAB2938D638E9E08EBCAF576C5A0BC7C1AD447645F1F07A26B147DBBFA,341D4BAA491DAA5BEBD0E061577E3F840C8157417C636FD2285D9BDF71FC4660,"0,3010",,,/q /norestart,,https://www.visualstudio.com/downloads/#microsoft-visual-c-redistributable-for-visual-studio-2017
VeraCrypt,1.21.0.0,new site: https://www.veracrypt.fr/en/Downloads.html,exe,,,https://veracrypt.codeplex.com/downloads/get/1670014,,,,6cff2cce52eb97321b1696f82e9ccefa7c80328d91c49bf10b49e3897677896e,,,,,,,https://veracrypt.codeplex.com/releases
VirtualBox,5.2.8.0,,exe,,,https://download.virtualbox.org/virtualbox/5.2.8/VirtualBox-5.2.8-121009-Win.exe,,,,bbd74e2d9717285863578ff728c16b411c88d1d0b63e3fd456cd09d2131635b3,,,,,,,https://www.virtualbox.org/wiki/Downloads
VirtualBoxExtensions,5.2.8.0,,other,,,https://download.virtualbox.org/virtualbox/5.2.8/Oracle_VM_VirtualBox_Extension_Pack-5.2.8-121009.vbox-extpack,,,,355ea5fe047f751534720c65398b44290d53f389e0f5f66818f3f36746631d26,,,,,,,
VirtualCloneDrive,5.5.0.0,,exe,,,https://www.elby.ch/download/SetupVCD.exe,,,,,,,,,,,http://www.elby.ch/download.html
Vivaldi,1.14.1077.55,,exe,,,https://downloads.vivaldi.com/stable/Vivaldi.1.14.1077.55.exe,https://downloads.vivaldi.com/stable/Vivaldi.1.14.1077.55.x64.exe,,,,,,,,,,https://vivaldi.com/download/
vlc,3.0.1.0,,exe,,,https://download.videolan.org/pub/videolan/vlc/3.0.1/win32/vlc-3.0.1-win32.exe,https://download.videolan.org/pub/videolan/vlc/3.0.1/win64/vlc-3.0.1-win64.exe,,,62d11c220910381c15e2ebd7a0b2eabc548f6e5b2a1a762d93c320411217a073,a76a303fbed71446fe73f7d851fe40da14e699336963d72f46a1882b1990bcc7,,,,,,https://www.videolan.org/vlc/download-windows.html
VMWarePlayer,14.1.1.7528167,old download: https://www.vmware.com/go/downloadplayer,exe,,,,https://download3.vmware.com/software/player/file/VMware-player-14.1.1-7528167.exe,,,,ca63ec797b0900458170e51763349f0e28011ed2,,,,,,https://www.vmware.com/go/tryplayer
VS2013Community,0.0.0.0,,exe,,,https://go.microsoft.com/fwlink/?LinkId=532495,,,,,,,,,,,
VS2013Premium,0.0.0.0,,exe,,,https://go.microsoft.com/fwlink/?LinkId=532511,,,,,,,,,,,
VS2013Professional,0.0.0.0,,exe,,,https://go.microsoft.com/fwlink/?LinkId=532509,,,,,,,,,,,
VS2013Ultimate,0.0.0.0,,exe,,,https://go.microsoft.com/fwlink/?LinkId=532506,,,,,,,,,,,
VS2013Update,5.0.0.0,,exe,,,https://go.microsoft.com/fwlink/?LinkId=519379,,,,,,,,,,,
VS2015Community,0.0.0.0,,exe,,,https://go.microsoft.com/fwlink/?LinkId=626924,,,,,,,,,,,
VS2015Professional,0.0.0.0,,exe,,,http://go.microsoft.com/fwlink/?LinkID=699336,,,,,,,,,,,
VS2015Enterprise,0.0.0.0,,exe,,,http://go.microsoft.com/fwlink/?LinkID=699337,,,,,,,,,,,
VS2015Update,2.0.0.0,,exe,,,https://go.microsoft.com/fwlink/?LinkId=691129,,,,,,,,,,,
VS2017Community,0.0.0.0,,exe,,,https://download.microsoft.com/download/4/3/3/433CE112-6BA4-49A1-A59F-E15F01E7B851/vs_Community.exe,,,,,,,,,--nocache,,
VS2017Professional,0.0.0.0,,exe,,,https://download.microsoft.com/download/D/B/A/DBAB8920-72B8-4EBA-B92C-0EF2D83B0139/vs_Professional.exe,,,,,,,,,--nocache,,
VS2017Enterprise,0.0.0.0,,exe,,,https://download.microsoft.com/download/3/E/2/3E230498-6A3F-4E8D-ADDD-FA43D96F52F5/vs_Enterprise.exe,,,,,,,,,--nocache,,
VSCode,1.20.1.0,,exe,,,https://go.microsoft.com/fwlink/?LinkID=623230,https://go.microsoft.com/fwlink/?Linkid=852157,,,,,,,,,,https://code.visualstudio.com/Download
WebPI,5.0.50430.0,,exe,,,http://go.microsoft.com/fwlink/?LinkId=255386,,,,,,,,,,,
WinMerge,2.14.0,,exe,,,http://sourceforge.net/projects/winmerge/files/stable/2.14.0/WinMerge-2.14.0-Setup.exe/download,,,,4006203d4fc3542e765212e1a78f115fb3f946d2,,,,,,,http://winmerge.org/downloads/
WinRAR,5.50.0.0,,exe,,,http://www.rarlab.com/rar/wrar550.exe,http://www.rarlab.com/rar/winrar-x64-550.exe,,,,,,,,,,https://www.rarlab.com
WireShark,2.4.5.0,,exe,,,https://2.na.dl.wireshark.org/win32/Wireshark-win32-2.4.5.exe,https://2.na.dl.wireshark.org/win64/Wireshark-win64-2.4.5.exe,,,31687c3c0f9e7c2c0ce610db5c659680083d7204c5fbda4a98fb439a86c90011,867338819182ba636e1b741e87d60f1b06661138c2614db1253f1c75c17ae68c,,,,,,https://www.wireshark.org/download.html
